FECHA (YYMMDD);HORA (HHMM);;
250723;2200;7,27942;
250723;2300;6,75933;
250724;0000;6,15983;
250724;0100;6,66225;
250724;0200;7,32142;
250724;0300;7,44075;
250724;0400;6,9585;
250724;0500;6,82992;
250724;0600;6,58008;
250724;0700;6,37242;
250724;0800;6,46392;
250724;0900;8,29942;
250724;1000;10,1967;
250724;1100;11,5567;
250724;1200;11,925;
250724;1300;11,8942;
250724;1400;12,9958;
250724;1500;14,2442;
250724;1600;14,02;
250724;1700;12,8792;
250724;1800;11,6575;
250724;1900;11,2933;
250724;2000;10,4667;
250724;2100;9,70917;
250724;2200;9,48;
250724;2300;9,31667;
250725;0000;9,29916;
250725;0100;9,49167;
250725;0200;9,70332;
250725;0300;9,63499;
250725;0400;9,6225;
250725;0500;9,8325;
250725;0600;9,57249;
250725;0700;9,1575;
250725;0800;9,19083;
250725;0900;10,2708;
250725;1000;11,5883;
250725;1100;13,2167;
250725;1200;14,605;
250725;1300;15,43;
250725;1400;15,8467;
250725;1500;16,0625;
250725;1600;15,8875;
250725;1700;14,99;
250725;1800;13,2142;
250725;1900;11,655;
250725;2000;11,3183;
250725;2100;10,5108;
250725;2200;9,56084;
250725;2300;9,505;
250726;0000;9,50583;
250726;0100;9,23166;
250726;0200;8,75917;
250726;0300;8,34334;
250726;0400;8,0925;
250726;0500;7,91067;
250726;0600;7,25542;
250726;0700;6,76575;
250726;0800;6,98308;
250726;0900;7,42333;
250726;1000;8,15625;
250726;1100;9,86417;
250726;1200;11,9433;
250726;1300;13,205;
250726;1400;13,4642;
250726;1500;13,9275;
250726;1600;13,8558;
250726;1700;13,5858;
250726;1800;12,7367;
250726;1900;12,605;
250726;2000;12,3133;
250726;2100;11,8967;
250726;2200;11,5383;
250726;2300;11,0467;
250727;0000;10,8458;
250727;0100;10,4583;
250727;0200;10,3058;
250727;0300;10,0783;
250727;0400;10,6608;
250727;0500;10,6708;
250727;0600;10,0867;
250727;0700;9,93916;
250727;0800;9,8175;
250727;0900;12,4117;
250727;1000;14,4633;
250727;1100;15,1525;
250727;1200;15,0783;
250727;1300;14,6733;
250727;1400;14,4858;
250727;1500;14,5742;
250727;1600;14,4042;
250727;1700;14,0033;
250727;1800;13,0092;
250727;1900;12,2208;
250727;2000;11,7533;
250727;2100;11,4508;
250727;2200;11,3383;
250727;2300;11,2917;
250728;0000;11,83;
250728;0100;11,2025;
250728;0200;11,1467;
250728;0300;11,1767;
250728;0400;10,9358;
250728;0500;10,6208;
250728;0600;10,3742;
250728;0700;10,3683;
250728;0800;10,7258;
250728;0900;11,2867;
250728;1000;13,0108;
250728;1100;14,755;
250728;1200;16,0908;
250728;1300;16,2342;
250728;1400;16,7692;
250728;1500;17,5258;
250728;1600;16,6975;
250728;1700;15,335;
250728;1800;14,4142;
250728;1900;13,9667;
250728;2000;13,4108;
250728;2100;12,5142;
250728;2200;11,9592;
250728;2300;11,795;
250729;0000;11,5933;
250729;0100;11,4833;
250729;0200;11,2392;
250729;0300;11,205;
250729;0400;11,1158;
250729;0500;10,8342;
250729;0600;10,9883;
250729;0700;10,81;
250729;0800;11,0408;
250729;0900;11,8675;
250729;1000;12,8583;
250729;1100;15,0508;
250729;1200;16,1017;
250729;1300;17,8125;
250729;1400;20,0425;
250729;1500;20,425;
250729;1600;19,6167;
250729;1700;18,9092;
250729;1800;17,3633;
250729;1900;16,5583;
250729;2000;15,665;
250729;2100;16,3183;
250729;2200;15,4042;
250729;2300;15,9192;
250730;0000;15,38;
250730;0100;15,3467;
250730;0200;14,8317;
250730;0300;14,5933;
250730;0400;14,1692;
250730;0500;14,085;
250730;0600;13,4625;
250730;0700;13,03;
250730;0800;13,5875;
250730;0900;13,9867;
250730;1000;14,5192;
250730;1100;15,025;
250730;1200;15,3125;
250730;1300;15,9345;
250730;1400;16,3575;
250730;1500;16,325;
250730;1600;15,8633;
250730;1700;15,8808;
250730;1800;15,3233;
250730;1900;14,9017;
250730;2000;14,6983;
250730;2100;14,845;
250730;2200;14,6367;
250730;2300;14,755;
250731;0000;14,8567;
250731;0100;14,7917;
250731;0200;13,6658;
250731;0300;12,1967;
250731;0400;12,1492;
250731;0500;12,1517;
250731;0600;13,1633;
250731;0700;13,0433;
250731;0800;12,1783;
250731;0900;11,9092;
250731;1000;11,9525;
250731;1100;12,145;
250731;1200;12,3567;
250731;1300;12,5825;
250731;1400;12,535;
250731;1500;12,2458;
250731;1600;12,0242;
250731;1700;11,9158;
250731;1800;11,7383;
250731;1900;11,6042;
250731;2000;11,6842;
250731;2100;11,5267;
250731;2200;11,66;
250731;2300;11,7317;
250801;0000;11,9217;
250801;0100;11,3492;
250801;0200;11,4433;
250801;0300;11,4083;
250801;0400;11,27;
250801;0500;10,8583;
250801;0600;10,5442;
250801;0700;10,535;
250801;0800;10,5283;
250801;0900;10,6308;
250801;1000;10,9683;
250801;1100;11,2218;
250801;1200;11,3008;
250801;1300;12,6925;
250801;1400;11,7033;
250801;1500;11,0325;
250801;1600;11,045;
250801;1700;9,87251;
250801;1800;9,95001;
250801;1900;10,1483;
250801;2000;9,35002;
250801;2100;9,33252;
250801;2200;9,24083;
250801;2300;8,99168;
250802;0000;8,90918;
250802;0100;8,94669;
250802;0200;9,04834;
250802;0300;8,32716;
250802;0400;8,00317;
250802;0500;8,147;
250802;0600;8,35501;
250802;0700;8,06677;
250802;0800;7,97325;
250802;0900;8,35918;
250802;1000;9,87083;
250802;1100;10,5517;
250802;1200;11,4308;
250802;1300;11,9767;
250802;1400;12,8375;
250802;1500;13,5883;
250802;1600;12,8208;
250802;1700;12,055;
250802;1800;10,6358;
250802;1900;9,27251;
250802;2000;8,09924;
250802;2100;6,88725;
250802;2200;5,96867;
250802;2300;5,24033;
250803;0000;4,66742;
250803;0100;3,97583;
250803;0200;3,21958;
250803;0300;3,52292;
250803;0400;3,5305;
250803;0500;3,29442;
250803;0600;3,38325;
250803;0700;3,2005;
250803;0800;3,50842;
250803;0900;3,92008;
250803;1000;4,62092;
250803;1100;4,86508;
250803;1200;5,94433;
250803;1300;6,99058;
250803;1400;8,13492;
250803;1500;9,45168;
250803;1600;10,2917;
250803;1700;9,80417;
250803;1800;8,24126;
250803;1900;6,78033;
250803;2000;6,09017;
250803;2100;5,68142;
250803;2200;7,09367;
250803;2300;7,066;
250804;0000;6,98233;
250804;0100;6,98417;
250804;0200;6,7055;
250804;0300;6,30008;
250804;0400;5,70119;
250804;0500;5,07484;
250804;0600;4,72434;
250804;0700;4,89993;
250804;0800;5,32809;
250804;0900;5,569;
250804;1000;7,55025;
250804;1100;9,625;
250804;1200;11,7417;
250804;1300;13,825;
250804;1400;14,8667;
250804;1500;15,6767;
250804;1600;16,1558;
250804;1700;15,6275;
250804;1800;12,8342;
250804;1900;10,7808;
250804;2000;9,35001;
250804;2100;8,32825;
250804;2200;7,32217;
250804;2300;6,83667;
250805;0000;6,43268;
250805;0100;5,70234;
250805;0200;5,10368;
250805;0300;4,78709;
250805;0400;3,98875;
250805;0500;3,59092;
250805;0600;3,48568;
250805;0700;3,25958;
250805;0800;3,80467;
250805;0900;5,30418;
250805;1000;8,2336;
250805;1100;12,1792;
250805;1200;14,4633;
250805;1300;16,5142;
250805;1400;18,4992;
250805;1500;;
250805;1600;18,935;
250805;1700;17,5392;
250805;1800;15,505;
250805;1900;14,1975;
250805;2000;12,8475;
250805;2100;12,2;
250805;2200;11,9967;
250805;2300;11,9242;
