FECHA (YYMMDD);HORA (HHMM);;
250727;1800;81,8958;
250727;1900;91,4083;
250727;2000;97,2167;
250727;2100;99,325;
250727;2200;99,85;
250727;2300;97,9083;
250728;0000;89,3;
250728;0100;94,2167;
250728;0200;93,4667;
250728;0300;90,125;
250728;0400;92,4417;
250728;0500;95,9417;
250728;0600;98,875;
250728;0700;99,2083;
250728;0800;97,1167;
250728;0900;90,6;
250728;1000;78,3633;
250728;1100;69,8;
250728;1200;65,0283;
250728;1300;66,7942;
250728;1400;60,835;
250728;1500;58,5283;
250728;1600;69,12;
250728;1700;79,2291;
250728;1800;83,775;
250728;1900;83,1833;
250728;2000;88,7;
250728;2100;92,5167;
250728;2200;94,3417;
250728;2300;97,575;
250729;0000;99,775;
250729;0100;98,725;
250729;0200;99,9917;
250729;0300;99,975;
250729;0400;99,35;
250729;0500;100;
250729;0600;97,6417;
250729;0700;100;
250729;0800;99,9917;
250729;0900;95,25;
250729;1000;88,4667;
250729;1100;74,5833;
250729;1200;72,3658;
250729;1300;62,7283;
250729;1400;52,45;
250729;1500;53,2817;
250729;1600;58,6708;
250729;1700;62,4392;
250729;1800;71,9058;
250729;1900;74,1884;
250729;2000;76,7933;
250729;2100;68,7642;
250729;2200;72,6949;
250729;2300;68,4875;
250730;0000;72,2708;
250730;0100;70,5026;
250730;0200;72,2725;
250730;0300;71,9192;
250730;0400;72,62;
250730;0500;70,91;
250730;0600;76,3442;
250730;0700;80,9425;
250730;0800;78,35;
250730;0900;76,9208;
250730;1000;75,4758;
250730;1100;71,785;
250730;1200;72,1033;
250730;1300;72,88;
250730;1400;70,5658;
250730;1500;69,4017;
250730;1600;71,6042;
250730;1700;70,08;
250730;1800;70,8175;
250730;1900;73,3175;
250730;2000;73,0568;
250730;2100;68,7892;
250730;2200;69,0742;
250730;2300;67,4449;
250731;0000;66,9508;
250731;0100;67,335;
250731;0200;78,3593;
250731;0300;92,2333;
250731;0400;92,55;
250731;0500;95,0667;
250731;0600;86,1417;
250731;0700;90,525;
250731;0800;99,9801;
250731;0900;99,9901;
250731;1000;99,9891;
250731;1100;100;
250731;1200;99,9917;
250731;1300;100;
250731;1400;99,9667;
250731;1500;99,5;
250731;1600;100;
250731;1700;99,9901;
250731;1800;99,9833;
250731;1900;99,9917;
250731;2000;99,3834;
250731;2100;99,7751;
250731;2200;97,1084;
250731;2300;95,3668;
250801;0000;90,8418;
250801;0100;96,1001;
250801;0200;93,7251;
250801;0300;97,4501;
250801;0400;96,6168;
250801;0500;98,6918;
250801;0600;99,9751;
250801;0700;99,9918;
250801;0800;99,9584;
250801;0900;99,9902;
250801;1000;96,3917;
250801;1100;95,5917;
250801;1200;94,0167;
250801;1300;80,8792;
250801;1400;88,2667;
250801;1500;85,3917;
250801;1600;84,6051;
250801;1700;98,2334;
250801;1800;96,4418;
250801;1900;89,7084;
250801;2000;96,0668;
250801;2100;97,0668;
250801;2200;99,975;
250801;2300;99,3834;
250802;0000;98,2001;
250802;0100;88,0334;
250802;0200;84,0343;
250802;0300;89,2917;
250802;0400;97,925;
250802;0500;99,5167;
250802;0600;99,3501;
250802;0700;99,9918;
250802;0800;99,3;
250802;0900;94,5333;
250802;1000;91,5417;
250802;1100;79,7657;
250802;1200;75,775;
250802;1300;71,3058;
250802;1400;66,2825;
250802;1500;60,8183;
250802;1600;65,6567;
250802;1700;70,2534;
250802;1800;78,0183;
250802;1900;86,7583;
250802;2000;94,7333;
250802;2100;99,9583;
250802;2200;100;
250802;2300;100;
250803;0000;99,9833;
250803;0100;100;
250803;0200;99,9833;
250803;0300;99,9667;
250803;0400;99,9833;
250803;0500;99,9601;
250803;0600;99,9667;
250803;0700;99,9667;
250803;0800;99,975;
250803;0900;99,9819;
250803;1000;100;
250803;1100;99,9833;
250803;1200;100;
250803;1300;100;
250803;1400;92,55;
250803;1500;83,5917;
250803;1600;80,1567;
250803;1700;83,1167;
250803;1800;89,4583;
250803;1900;98,925;
250803;2000;100;
250803;2100;100;
250803;2200;99,9833;
250803;2300;99,9917;
250804;0000;99,9833;
250804;0100;99,9917;
250804;0200;99,9833;
250804;0300;100;
250804;0400;99,9835;
250804;0500;99,9822;
250804;0600;99,9919;
250804;0700;100;
250804;0800;99,9668;
250804;0900;98,5083;
250804;1000;83,6075;
250804;1100;74,4767;
250804;1200;68,2393;
250804;1300;57,2017;
250804;1400;57,94;
250804;1500;56,475;
250804;1600;55,2208;
250804;1700;60,0608;
250804;1800;75,3817;
250804;1900;86,3167;
250804;2000;93,7667;
250804;2100;99,4833;
250804;2200;99,9917;
250804;2300;99,9833;
250805;0000;99,9902;
250805;0100;100;
250805;0200;100;
250805;0300;99,9918;
250805;0400;100;
250805;0500;99,9803;
250805;0600;99,9918;
250805;0700;99,9751;
250805;0800;99,9821;
250805;0900;99,9803;
250805;1000;91,0168;
250805;1100;69,8126;
250805;1200;64,4285;
250805;1300;59,5201;
250805;1400;52,8751;
250805;1500;;
250805;1600;53,3392;
250805;1700;59,7009;
250805;1800;70,1027;
250805;1900;77,5559;
250805;2000;85,5168;
250805;2100;88,7584;
250805;2200;91,1752;
250805;2300;91,9001;
