FECHA (YYMMDD);HORA (HHMM);;
250728;1400;224,977;
250728;1500;161,666;
250728;1600;174,809;
250728;1700;194,038;
250728;1800;262,084;
250728;1900;241,988;
250728;2000;138,702;
250728;2100;11,3302;
250728;2200;45,9693;
250728;2300;193,957;
250729;0000;32,7069;
250729;0100;218,438;
250729;0200;315,064;
250729;0300;37,5964;
250729;0400;18,2882;
250729;0500;218,229;
250729;0600;239,264;
250729;0700;180,075;
250729;0800;12,7338;
250729;0900;325,518;
250729;1000;193,308;
250729;1100;57,6597;
250729;1200;278,798;
250729;1300;259,356;
250729;1400;158,232;
250729;1500;80,6772;
250729;1600;52,7642;
250729;1700;0,504;
250729;1800;48,3566;
250729;1900;46,4745;
250729;2000;42,9313;
250729;2100;43,6157;
250729;2200;172,785;
250729;2300;290,496;
250730;0000;269,053;
250730;0100;355,969;
250730;0200;8,95155;
250730;0300;33,9007;
250730;0400;63,5872;
250730;0500;49,162;
250730;0600;29,8942;
250730;0700;30,4108;
250730;0800;81,2783;
250730;0900;43,8089;
250730;1000;38,7176;
250730;1100;50,1505;
250730;1200;48,6987;
250730;1300;45,4375;
250730;1400;34,8918;
250730;1500;51,2161;
250730;1600;52,4263;
250730;1700;50,76;
250730;1800;353,938;
250730;1900;23,9579;
250730;2000;37,0597;
250730;2100;37,995;
250730;2200;46,3357;
250730;2300;38,4682;
250731;0000;33,5282;
250731;0100;25,3636;
250731;0200;14,5658;
250731;0300;22,5503;
250731;0400;20,5087;
250731;0500;8,11093;
250731;0600;15,7222;
250731;0700;23,7209;
250731;0800;48,5197;
250731;0900;53,0439;
250731;1000;46,3591;
250731;1100;59,9676;
250731;1200;60,0473;
250731;1300;61,307;
250731;1400;53,3732;
250731;1500;39,9644;
250731;1600;50,3184;
250731;1700;56,4625;
250731;1800;65,649;
250731;1900;64,144;
250731;2000;62,8019;
250731;2100;66,0868;
250731;2200;54,7126;
250731;2300;51,8345;
250801;0000;48,5616;
250801;0100;0,267857;
250801;0200;13,465;
250801;0300;349,496;
250801;0400;37,9304;
250801;0500;64,3533;
250801;0600;56,8207;
250801;0700;61,2112;
250801;0800;47,0775;
250801;0900;42,6535;
250801;1000;18,5732;
250801;1100;16,9182;
250801;1200;23,0625;
250801;1300;32,6327;
250801;1400;31,9521;
250801;1500;28,4021;
250801;1600;38,7357;
250801;1700;51,8314;
250801;1800;60,5222;
250801;1900;48,9819;
250801;2000;49,1594;
250801;2100;13,8261;
250801;2200;59,4836;
250801;2300;23,9332;
250802;0000;37,3421;
250802;0100;9,97801;
250802;0200;23,9873;
250802;0300;340,701;
250802;0400;52,5422;
250802;0500;35,9402;
250802;0600;33,6769;
250802;0700;42,4324;
250802;0800;48,7647;
250802;0900;29,4672;
250802;1000;42,2753;
250802;1100;33,903;
250802;1200;32,4971;
250802;1300;19,015;
250802;1400;24,4073;
250802;1500;351,184;
250802;1600;11,4428;
250802;1700;14,0812;
250802;1800;36,1469;
250802;1900;60,0564;
250802;2000;33,1073;
250802;2100;174,294;
250802;2200;33,5663;
250802;2300;42,8216;
250803;0000;54,4069;
250803;0100;264,146;
250803;0200;234,507;
250803;0300;251,328;
250803;0400;69,9124;
250803;0500;230,402;
250803;0600;194,538;
250803;0700;133,42;
250803;0800;16,3205;
250803;0900;218,387;
250803;1000;82,7979;
250803;1100;6,71461;
250803;1200;235,358;
250803;1300;224,145;
250803;1400;217,712;
250803;1500;192,352;
250803;1600;202,643;
250803;1700;212,962;
250803;1800;161,66;
250803;1900;333,293;
250803;2000;240,391;
250803;2100;221,586;
250803;2200;202,122;
250803;2300;203,957;
250804;0000;194,484;
250804;0100;197,806;
250804;0200;186,867;
250804;0300;209,14;
250804;0400;201,673;
250804;0500;194,179;
250804;0600;221,193;
250804;0700;220,4;
250804;0800;220,932;
250804;0900;189,817;
250804;1000;215,249;
250804;1100;232,956;
250804;1200;238,05;
250804;1300;196,846;
250804;1400;206,076;
250804;1500;174,821;
250804;1600;185,804;
250804;1700;286,656;
250804;1800;356,538;
250804;1900;89,9863;
250804;2000;38,7807;
250804;2100;33,1787;
250804;2200;19,4802;
250804;2300;70,2228;
250805;0000;37,597;
250805;0100;161,212;
250805;0200;40,9186;
250805;0300;6,5546;
250805;0400;301,795;
250805;0500;35,2473;
250805;0600;34,0854;
250805;0700;306,083;
250805;0800;241,791;
250805;0900;29,8855;
250805;1000;17,9583;
250805;1100;149,659;
250805;1200;236,862;
250805;1300;246,9;
250805;1400;190,512;
250805;1500;;
250805;1600;187,849;
250805;1700;200,375;
250805;1800;216,296;
250805;1900;313,403;
250805;2000;300,757;
250805;2100;250,164;
250805;2200;234,827;
250805;2300;154,84;
