FECHA (YYMMDD);HORA (HHMM);;
250725;0800;1,4827;
250725;0900;1,28469;
250725;1000;1,6978;
250725;1100;1,76084;
250725;1200;2,40582;
250725;1300;1,87393;
250725;1400;1,27275;
250725;1500;1,03738;
250725;1600;1,15;
250725;1700;0,842634;
250725;1800;0,435222;
250725;1900;0,655909;
250725;2000;0,665137;
250725;2100;0,169555;
250725;2200;0,239994;
250725;2300;0,398342;
250726;0000;0,51298;
250726;0100;0,147234;
250726;0200;0,129671;
250726;0300;0,144991;
250726;0400;0,471891;
250726;0500;0,576005;
250726;0600;0,0493694;
250726;0700;0,407112;
250726;0800;0,176939;
250726;0900;0,490526;
250726;1000;0,518368;
250726;1100;0,538048;
250726;1200;0,686266;
250726;1300;0,700243;
250726;1400;0,732505;
250726;1500;0,99203;
250726;1600;0,784487;
250726;1700;0,373011;
250726;1800;0,447718;
250726;1900;0,881401;
250726;2000;0,282077;
250726;2100;0,456893;
250726;2200;0,39103;
250726;2300;0,0280527;
250727;0000;0,24137;
250727;0100;0,39438;
250727;0200;0,620593;
250727;0300;0,12509;
250727;0400;0,641768;
250727;0500;0,358246;
250727;0600;0,629094;
250727;0700;0,456516;
250727;0800;0,239575;
250727;0900;0,330286;
250727;1000;1,01894;
250727;1100;1,58626;
250727;1200;2,01438;
250727;1300;1,54857;
250727;1400;1,19259;
250727;1500;1,51552;
250727;1600;1,06785;
250727;1700;1,3931;
250727;1800;0,952665;
250727;1900;0,935719;
250727;2000;1,28651;
250727;2100;0,385007;
250727;2200;0,0932975;
250727;2300;0,338357;
250728;0000;0,645514;
250728;0100;0,740023;
250728;0200;0,917593;
250728;0300;1,49782;
250728;0400;0,751193;
250728;0500;0,368004;
250728;0600;0,227453;
250728;0700;0,523401;
250728;0800;0,447416;
250728;0900;1,20725;
250728;1000;0,400276;
250728;1100;0,515338;
250728;1200;0,453115;
250728;1300;1,26973;
250728;1400;0,335397;
250728;1500;0,839085;
250728;1600;0,846245;
250728;1700;0,464062;
250728;1800;0,943291;
250728;1900;0,749681;
250728;2000;0,622528;
250728;2100;0,794052;
250728;2200;0,192354;
250728;2300;0,343569;
250729;0000;0,411704;
250729;0100;0,415063;
250729;0200;0,105318;
250729;0300;0,480289;
250729;0400;0,318883;
250729;0500;0,765598;
250729;0600;0,590833;
250729;0700;0,872543;
250729;0800;0,482561;
250729;0900;0,391389;
