TrakPro Version 4.70 ASCII Data File

Model:,DustTrak II
Model Number:,8532
Serial Number:,8532105203
Test ID:,001
Test Abbreviation:,TEST 4 TALCA_001
Start Date:,20-07-2025
Start Time:,17:39:55
Duration (dd:hh:mm:ss):,0:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,83
Notes:,ERROR: FILTER, 

Statistics,Channel:,AEROSOL
,Units:,mg/m^3
,Average:,0.000
,Minimum:,0.000
,Time of Minimum:,17:39:56
,Date of Minimum:,20-07-2025
,Maximum:,0.000
,Time of Maximum:,17:39:56
,Date of Maximum:,20-07-2025

Calibration,Sensor:,AEROSOL
,Cal. date,29-05-2014

Date,Time,AEROSOL
20-07-2025,18:04:25,0.267
20-07-2025,18:04:26,0.267
20-07-2025,18:04:27,0.269
20-07-2025,18:04:28,0.280
20-07-2025,18:04:29,0.290
20-07-2025,18:04:30,0.290
20-07-2025,18:04:31,0.293
20-07-2025,18:04:32,0.303
20-07-2025,18:04:33,0.313
20-07-2025,18:04:34,0.318
20-07-2025,18:04:35,0.327
20-07-2025,18:04:36,0.338
20-07-2025,18:04:37,0.336
20-07-2025,18:04:38,0.322
20-07-2025,18:04:39,0.293
20-07-2025,18:04:40,0.286
20-07-2025,18:04:41,0.305
20-07-2025,18:04:42,0.319
20-07-2025,18:04:43,0.316
20-07-2025,18:04:44,0.318
20-07-2025,18:04:45,0.317
20-07-2025,18:04:46,0.310
20-07-2025,18:04:47,0.328
20-07-2025,18:04:48,0.339
20-07-2025,18:04:49,0.320
20-07-2025,18:04:50,0.289
20-07-2025,18:04:51,0.290
20-07-2025,18:04:52,0.342
20-07-2025,18:04:53,0.385
20-07-2025,18:04:54,0.398
20-07-2025,18:04:55,0.358
20-07-2025,18:04:56,0.338
20-07-2025,18:04:57,0.448
20-07-2025,18:04:58,0.473
20-07-2025,18:04:59,0.494
20-07-2025,18:05:00,0.488
20-07-2025,18:05:01,0.224
20-07-2025,18:05:02,0.191
20-07-2025,18:05:03,0.163
20-07-2025,18:05:04,0.140
20-07-2025,18:05:05,0.170
20-07-2025,18:05:06,0.249
20-07-2025,18:05:07,0.229
20-07-2025,18:05:08,0.187
20-07-2025,18:05:09,0.184
20-07-2025,18:05:10,0.191
20-07-2025,18:05:11,0.205
20-07-2025,18:05:12,0.222
20-07-2025,18:05:13,0.240
20-07-2025,18:05:14,0.223
20-07-2025,18:05:15,0.214
20-07-2025,18:05:16,0.225
20-07-2025,18:05:17,0.229
20-07-2025,18:05:18,0.242
20-07-2025,18:05:19,0.255
20-07-2025,18:05:20,0.254
20-07-2025,18:05:21,0.227
20-07-2025,18:05:22,0.199
20-07-2025,18:05:23,0.171
20-07-2025,18:05:24,0.163
20-07-2025,18:05:25,0.204
20-07-2025,18:05:26,0.273
20-07-2025,18:05:27,0.351
20-07-2025,18:05:28,0.398
20-07-2025,18:05:29,0.451
20-07-2025,18:05:30,0.475
20-07-2025,18:05:31,0.461
20-07-2025,18:05:32,0.432
20-07-2025,18:05:33,0.398
20-07-2025,18:05:34,0.387
20-07-2025,18:05:35,0.369
20-07-2025,18:05:36,0.358
20-07-2025,18:05:37,0.370
20-07-2025,18:05:38,0.363
20-07-2025,18:05:39,0.359
20-07-2025,18:05:40,0.353
20-07-2025,18:05:41,0.345
20-07-2025,18:05:42,0.343
20-07-2025,18:05:43,0.329
20-07-2025,18:05:44,0.305
20-07-2025,18:05:45,0.316
20-07-2025,18:05:46,0.318
20-07-2025,18:05:47,0.309
20-07-2025,18:05:48,0.302
20-07-2025,18:05:49,0.295
20-07-2025,18:05:50,0.288
20-07-2025,18:05:51,0.274
20-07-2025,18:05:52,0.276
20-07-2025,18:05:53,0.292
20-07-2025,18:05:54,0.274
20-07-2025,18:05:55,0.244
20-07-2025,18:05:56,0.237
20-07-2025,18:05:57,0.229
20-07-2025,18:05:58,0.221
20-07-2025,18:05:59,0.221
20-07-2025,18:06:00,0.232
20-07-2025,18:06:01,0.234
20-07-2025,18:06:02,0.240
20-07-2025,18:06:03,0.249
20-07-2025,18:06:04,0.254
20-07-2025,18:06:05,0.259
20-07-2025,18:06:06,0.282
20-07-2025,18:06:07,0.331
20-07-2025,18:06:08,0.329
20-07-2025,18:06:09,0.294
20-07-2025,18:06:10,0.262
20-07-2025,18:06:11,0.252
20-07-2025,18:06:12,0.247
20-07-2025,18:06:13,0.243
20-07-2025,18:06:14,0.239
20-07-2025,18:06:15,0.241
20-07-2025,18:06:16,0.248
20-07-2025,18:06:17,0.245
20-07-2025,18:06:18,0.243
20-07-2025,18:06:19,0.262
20-07-2025,18:06:20,0.259
20-07-2025,18:06:21,0.264
20-07-2025,18:06:22,0.276
20-07-2025,18:06:23,0.264
20-07-2025,18:06:24,0.278
20-07-2025,18:06:25,0.321
20-07-2025,18:06:26,0.330
20-07-2025,18:06:27,0.313
20-07-2025,18:06:28,0.307
20-07-2025,18:06:29,0.339
20-07-2025,18:06:30,0.355
20-07-2025,18:06:31,0.340
20-07-2025,18:06:32,0.342
20-07-2025,18:06:33,0.347
20-07-2025,18:06:34,0.340
20-07-2025,18:06:35,0.344
